,movienames,movieinfo,movietag,movierate,movieid
988,蒙哥 The Meerkats,"{'类型': [' 纪录片'], '主演': [' 保罗·纽曼'], '上映日期': ' 2008-10-15', '编剧': ' 詹姆斯·霍尼伯内 / 亚历山大·麦考·史密斯', '语言': [' 英语'], '制片国家/地区': ' 英国', '导演': ' 詹姆斯·霍尼伯内'}","['动物', '自然', 'BBC', '2008', '纪录', '非洲', '成长', '温情']",9.2,50988
989,汉尼拔 Hannibal,"{'类型': [' 惊悚 ', ' 犯罪'], '主演': [' 安东尼·霍普金斯 ', ' 朱丽安·摩尔 ', ' 加里·奥德曼 ', ' 雷·利奥塔 ', ' 吉安卡罗·吉安尼尼'], '上映日期': ' 2001-02-09(美国) / 2001-02-16(英国)', '编剧': ' 大卫·马梅 / 斯蒂文·泽里安 / Thomas Harris', '语言': [' 英语 ', ' 意大利语 ', ' 日语'], '制片国家/地区': ' 英国 / 美国', '导演': ' 雷德利·斯科特'}","['惊悚', '汉尼拔', '心理', '犯罪', '悬疑', '美国', '经典', '美国电影']",8.1,50989
990,内在美 뷰티 인사이드,"{'类型': [' 剧情 ', ' 爱情 ', ' 奇幻'], '主演': [' 韩孝周 ', ' 金大明 ', ' 都枝寒 ', ' 朴信惠 ', ' 李凡秀 ', ' 朴叙俊 ', ' 金相浩 ', ' 千禹熙 ', ' 赵达焕 ', ' 李阵郁 ', ' 徐康俊 ', ' 李栋旭 ', ' 高雅星 ', ' 金柱赫 ', ' 柳演锡 ', ' 上野树里 ', ' 文淑 ', ' 申东美 ', ' 李在浚 ', ' 李玹雨 ', ' 金熙元更多...'], '上映日期': ' 2015-08-20(韩国)', '编剧': ' Seon-jeong Kim / Jeong-ye Park / 卢熙京', '语言': [' 韩语'], '制片国家/地区': ' 韩国', '导演': ' 白宗烈'}","['韩国', '爱情', '奇幻', '文艺', '2015', '浪漫', '剧情', '温情']",7.5,50990
991,我恨你的十件事 10 Things I Hate About You,"{'类型': [' 喜剧 ', ' 爱情'], '主演': [' 朱丽娅·斯蒂尔斯 ', ' 希斯·莱杰 ', ' 约瑟夫·高登-莱维特 ', ' 拉丽莎·奥蕾尼克 ', ' 大卫·克鲁霍尔特兹 ', ' 安德鲁·凯加更多...'], '上映日期': ' 1999-03-31', '编剧': ' Karen McCullah Lutz / 克尔斯滕·史密斯', '语言': [' 英语'], '制片国家/地区': ' 美国', '导演': ' 吉尔·约格尔'}","['美国', '青春', '爱情', 'HeathLedger', '喜剧', '美国电影', '校园', '校园青春']",7.7,50991
992,不能爱 不能愛,"{'类型': [' 剧情 ', ' 爱情'], '主演': [' 李思汝 ', ' 鄭肇熙 ', ' 葉麗嘉 ', ' 小胡＠野仔'], '上映日期': ' 2012-11', '编剧': ' 梁碧芝', '语言': [' 粤语'], '制片国家/地区': ' 香港', '导演': ' 梁碧芝'}","['香港', '香港电影', '葉麗嘉', '梁碧芝', '爱情', '同志', '2012', '不能愛']",7.8,50992
993,心之全蚀 Total Eclipse,"{'类型': [' 剧情 ', ' 爱情 ', ' 同性 ', ' 传记'], '主演': [' 莱昂纳多·迪卡普里奥 ', ' 大卫·休里斯 ', ' 罗曼娜·波琳热 ', ' 多米尼克·布隆 ', ' Felicie Pasotti Cabarbaye'], '上映日期': ' 1995-11-03(美国)', '编剧': ' 克里斯托弗·汉普顿', '语言': [' 英语'], '制片国家/地区': ' 英国 / 法国 / 比利时', '导演': ' 阿格涅丝卡·霍兰'}","['传记', '同性', '兰波', '英国', '爱情', '文艺', '法国', 'Gay']",8.1,50993
994,地球之盐 Le sel de la Terre,"{'类型': [' 纪录片 ', ' 传记'], '主演': [' 塞巴斯蒂昂·萨尔加多 ', ' 维姆·文德斯 ', ' 朱利安·诺里贝罗·萨尔加多 ', ' Lélia Wanick Salgado'], '上映日期': ' 2014-10-15(法国)', '编剧': ' 维姆·文德斯 / 朱利安·诺里贝罗·萨尔加多 / David Rosier / Camille Delafon', '语言': [' 法语 ', ' 英语 ', ' 葡萄牙语'], '制片国家/地区': ' 法国 / 意大利 / 巴西', '导演': ' 维姆·文德斯 / 朱利安·诺里贝罗·萨尔加多'}","['纪录片', '法国', '摄影', '维姆·文德斯', '2014', '巴西', 'WimWenders', '德国']",9.1,50994
995,五月之恋 五月之戀,"{'类型': [' 爱情'], '主演': [' 刘亦菲 ', ' 陈柏霖 ', ' 田丰 ', ' 许安安'], '上映日期': ' 2004-07-16(台湾)', '编剧': ' 黄志翔', '语言': [' 汉语普通话'], '制片国家/地区': ' 台湾', '导演': ' 徐小明'}","['青春', '陈柏霖', '台湾', '五月之恋', '五月天', '台湾电影', '刘亦菲', '爱情']",6.7,50995
996,边境杀手 Sicario,"{'类型': [' 剧情 ', ' 惊悚 ', ' 犯罪'], '主演': [' 艾米莉·布朗特 ', ' 本尼西奥·德尔·托罗 ', ' 乔什·布洛林 ', ' 维克多·加博 ', ' 乔·博恩瑟 ', ' 丹尼尔·卡卢亚 ', ' 杰弗里·多诺万 ', ' 劳尔·特鲁希洛 ', ' 胡里奥·赛迪罗 ', ' 汉克·罗杰森 ', ' 马克斯米利亚诺·赫尔南德斯 ', ' 艾伦·D·柏温 ', ' 迪兰·科宁 ', ' 马修·佩奇 ', ' 约翰·彼得·贝尔纳多更多...'], '上映日期': ' 2015-05-19(戛纳电影节) / 2015-10-02(美国)', '编剧': ' 泰勒·谢里丹', '语言': [' 英语 ', ' 西班牙语'], '制片国家/地区': ' 美国', '导演': ' 丹尼斯·维伦纽瓦'}","['犯罪', '美国', '动作', '剧情', '暴力', '2015', '悬疑', '毒品']",7.5,50996
997,大奥2016特别篇 大奥,"{'类型': [' 剧情 ', ' 历史'], '主演': [' 泽尻英龙华 ', ' 莲佛美沙子 ', ' 板尾创路 ', ' 温水洋一 ', ' 光浦靖子 ', ' 鹫尾真知子 ', ' 山口香緖里 ', ' 久保田磨希 ', ' 渡边麻友 ', ' 浅野优子 ', ' 成宫宽贵更多...'], '编剧': ' 浅野妙子', '语言': [' 日语'], '制片国家/地区': ' 日本', '导演': ' 林彻'}","['日剧', '日本', '日剧SP', '沢尻エリカ', '大奥', '2016', '看过的电视剧', 'SP']",6.7,50997
998,威尔和格蕾丝 第九季 Will & Grace Season 9,"{'类型': [' 喜剧 ', ' 爱情 ', ' 同性'], '主演': [' 艾瑞克·麦柯马克 ', ' 黛博拉·梅辛 ', ' 梅根·莫拉莉 ', ' 西恩·海耶斯 ', ' 凯尔·柏海莫 ', ' 艾迪·马托斯 ', ' 凯特·米库奇 ', ' 本·普拉特 ', ' 马里·帕特·格里森 ', ' 迈克尔·加兰特更多...'], '编剧': ' 大卫·科翰 / 麦克斯·慕驰尼克', '语言': [' 英语'], '制片国家/地区': ' 美国', '导演': ' 詹姆斯·伯罗斯'}","['美剧', '喜剧', '看过的电视剧', '英语标签', '情景喜剧', '美国', 'LGBT', '2017']",9.4,50998
999,世界上最大的鲜花市场 The World's Biggest Flower Market,"{'类型': [' 纪录片'], '主演': [' Cherry Healey ', ' Simon Lycett'], '上映日期': ' 2016-05-27(英国)', '编剧': ' Ruairi Fallon', '语言': [' 英语'], '制片国家/地区': ' 英国', '导演': ' Ruairi Fallon'}","['纪录片', 'BBC', '英国', '植物', '鲜切花', '纪录', '2016', '商业']",8.9,50999
1000,流浪者之歌 Дом за вешање,"{'类型': [' 剧情 ', ' 喜剧 ', ' 犯罪 ', ' 奇幻'], '主演': [' 达沃尔·杜伊莫维奇 ', ' 博拉·托德洛维奇 ', ' Ljubica Adzovic'], '上映日期': ' 1988-12-21', '编剧': ' 埃米尔·库斯图里卡 / 戈登·米黑克', '语言': [' 英语 ', ' 意大利语 ', ' 塞尔维亚-克罗地亚语 ', ' 吉普赛语'], '制片国家/地区': ' 意大利 / 英国 / 南斯拉夫', '导演': ' 埃米尔·库斯图里卡'}","['库斯图里卡', '南斯拉夫', '流浪者之歌', '南斯拉夫电影', 'EmirKusturica', '剧情', 'Emir_Kusturica', '1989']",9.0,51000
1001,8英里 8 Mile,"{'类型': [' 剧情 ', ' 音乐'], '主演': [' 埃米纳姆 ', ' 金·贝辛格 ', ' 梅奇·费法 ', ' 布莱特妮·墨菲 ', ' 伊万·琼斯 ', ' 奥玛·本森·米勒 ', ' 德-安格里欧·威尔逊 ', ' 尤金·伯德 ', ' 塔恩·曼宁 ', ' Larry Hudson ', ' Proof ', ' Mike Bell ', ' DJ Head ', ' 迈克尔·珊农 ', ' Chloe Greenfield更多...'], '上映日期': ' 2002-11-08(美国)', '编剧': ' 斯科特·西尔弗', '语言': [' 英语'], '制片国家/地区': ' 美国 / 德国', '导演': ' 柯蒂斯·汉森'}","['Eminem', '传记', '美国', '音乐', 'rap', '青春', '美国电影', '剧情']",8.1,51001
1002,偶然与巧合 Hasards ou coïncidences,"{'类型': [' 剧情'], '主演': [' Alessandra Martines ', ' Pierre Arditi'], '上映日期': ' 1998-09-07', '编剧': ' 克洛德·博林 / Christian Gaubert / 克洛德·勒卢什', '语言': [' 法语'], '制片国家/地区': ' 法国 / 加拿大', '导演': ' 克洛德·勒卢什'}","['法国', '法国电影', '文艺', '偶然与巧合', '爱情', 'ClaudeLelouch', '李欣频荐', '愛情']",8.7,51002
1003,辩护人 변호인,"{'类型': [' 剧情'], '主演': [' 宋康昊 ', ' 吴达洙 ', ' 金英爱 ', ' 郭度沅 ', ' 任时完'], '上映日期': ' 2013-12-18(韩国)', '编剧': ' 杨宇硕 / 尹贤豪', '语言': [' 韩语'], '制片国家/地区': ' 韩国', '导演': ' 杨宇硕'}","['韩国', '政治', '法律', '民主', '人性', '剧情', '感人', '2013']",9.1,51003
1004,家族的形式 家族ノカタチ,"{'类型': [' 剧情'], '主演': [' 香取慎吾 ', ' 上野树里 ', ' 水原希子 ', ' 荒川良良 ', ' 千叶雄大 ', ' 柳原可奈子 ', ' 中村安奈 ', ' 水野美纪 ', ' 风吹淳 ', ' 西田敏行 ', ' 田中圭 ', ' 川口春奈 ', ' 观月亚理莎 ', ' 森本治行 ', ' 高田彪我更多...'], '编剧': ' 后藤法子', '语言': [' 日语'], '制片国家/地区': ' 日本', '导演': ' 平野俊一'}","['日剧', '上野树里', '日本', '香取慎吾', '2016', '上野樹里', '水原希子', '家庭']",8.8,51004
1005,锦绣未央,"{'类型': [' 剧情 ', ' 爱情 ', ' 古装'], '主演': [' 唐嫣 ', ' 罗晋 ', ' 吴建豪 ', ' 毛晓彤 ', ' 李心艾 ', ' 徐薏雯 ', ' 张天阳 ', ' 陈钰琪 ', ' 梁振伦 ', ' 刘雪华 ', ' 田丽 ', ' 谭凯 ', ' 金瀚更多...'], '编剧': ' 程婷钰', '语言': [' 汉语普通话'], '制片国家/地区': ' 中国大陆', '导演': ' 李慧珠'}","['唐嫣', '古装', '国产电视剧', '烂片', '电视剧', '小说改编', '2016', '国产剧']",4.7,51005
1006,山田孝之的元气放送,"{'制片国家/地区': ' 日本', '类型': [' 真人秀'], '主演': [' 山田孝之 ', ' 小池荣子 ', ' 松冈茉优'], '语言': [' 日语']}","['山田孝之', '日本', '综艺', '松岡茉優', '日本综艺', '日综', '小池荣子', '2017']",,51006
1007,无耻之徒(美版) 第八季 Shameless Season 8,"{'类型': [' 剧情 ', ' 喜剧'], '主演': [' 威廉姆·H·梅西 ', ' 埃米·罗森 ', ' 杰瑞米·艾伦·怀特 ', ' 伊森·卡特科斯基 ', ' 珊诺拉·汉普顿 ', ' 史蒂夫·豪威 ', ' 艾玛·肯尼 ', ' 卡梅隆·莫纳汉 ', ' 伊西多拉·格瑞新特 ', ' 斯科特·迈克尔·坎贝尔 ', ' 艾丽莎·科波拉 ', ' 埃利奥特 · 弗莱彻 ', ' 露比·莫迪恩 ', ' 扎克·珀尔曼 ', ' 阿兰·罗森伯格 ', ' 杰西卡·斯佐尔 ', ' 帕芮·马费尔德 ', ' 丽维·陈更多...'], '编剧': ' 约翰·威尔斯 / 保罗·艾伯特', '语言': [' 英语'], '制片国家/地区': ' 美国', '导演': ' 伊恩·B·麦克唐纳 / 安东尼·海明威 / 雷吉娜·金 / 埃米·罗森 / Anna Mastro'}","['美剧', '无耻之徒', '美国', '喜剧', '黑色幽默', '家庭', 'Showtime', '2017']",9.7,51007
1008,凤囚凰,"{'类型': [' 剧情 ', ' 爱情 ', ' 古装'], '主演': [' 关晓彤 ', ' 宋威龙 ', ' 张馨予 ', ' 白鹿 ', ' 米热 ', ' 吴谨言 ', ' 洪尧 ', ' 张逸杰更多...'], '编剧': ' 于正', '语言': [' 汉语普通话'], '制片国家/地区': ' 中国大陆', '导演': ' 李慧珠 / 邓伟恩 / 黄斌'}","['关晓彤', '烂剧', '古装', '小说改编', '于正', '国产电视剧', '电视剧', '国产剧']",3.0,51008
1010,纪实72小时 福冈中洲 深夜里的幼儿园 ドキュメント72時間 福岡・中洲 真夜中の保育園,"{'制片国家/地区': ' 日本', '类型': [' 纪录片'], '上映日期': ' 2016-11-18', '语言': [' 日语']}","['纪录片', '纪实72小时', 'NHK', '日本', '幼儿园', '亲情', '短片', '2016']",8.1,51009
1011,独家新闻 SCOOP！,"{'类型': [' 剧情'], '主演': [' 福山雅治 ', ' 二阶堂富美 ', ' 吉田羊 ', ' 泷藤贤一 ', ' 中川雅也 ', ' 斋藤工更多...'], '上映日期': ' 2016-10-01(日本)', '编剧': ' 大根仁 / 原田真人', '语言': [' 日语'], '制片国家/地区': ' 日本', '导演': ' 大根仁'}","['日本', '剧情', '2016', '媒体', '社会', '犯罪', '爱情', '悬疑']",7.0,51010
1012,大红灯笼高高挂,"{'类型': [' 剧情 ', ' 爱情 ', ' 历史'], '主演': [' 巩俐 ', ' 马精武 ', ' 何赛飞 ', ' 曹翠芬 ', ' 周琦 ', ' 孔琳 ', ' 金淑媛 ', ' 丁惟敏 ', ' 初晓更多...'], '上映日期': ' 1991-09-10(威尼斯电影节/多伦多电影节)', '编剧': ' 倪震 / 苏童', '语言': [' 汉语普通话'], '制片国家/地区': ' 中国大陆 / 香港 / 台湾', '导演': ' 张艺谋'}","['剧情', '人性', '经典', '1991', '女性', '文艺', '中国大陆', '小说改编']",8.4,51011
1013,我们的存在(上) 僕等がいた 前篇,"{'类型': [' 剧情 ', ' 爱情'], '主演': [' 生田斗真 ', ' 吉高由里子 ', ' 高冈奏辅 ', ' 本仮屋唯佳 ', ' 麻生祐未 ', ' 小松彩夏 ', ' 须藤理彩更多...'], '上映日期': ' 2012-03-17(日本)', '编剧': ' 吉田智子 / 小畑友纪', '语言': [' 日语'], '制片国家/地区': ' 日本', '导演': ' 三木孝浩'}","['日本', '爱情', '纯爱', '青春', '2012', '漫画改编', '校园', '真人版']",7.4,51012
1014,来自星星的你 별에서 온 그대,"{'类型': [' 爱情'], '主演': [' 金秀贤 ', ' 全智贤 ', ' 朴海镇 ', ' 刘仁娜 ', ' 吴尚镇 ', ' 安宰贤 ', ' 申成禄 ', ' 赵承贤 ', ' 金贤秀 ', ' 李日花更多...'], '编剧': ' 朴智恩', '语言': [' 韩语'], '制片国家/地区': ' 韩国', '导演': ' 张太维'}","['韩剧', '金秀贤', '全智贤', '爱情', '韩国', '电视剧', '2013', '喜剧']",8.3,51013
1015,将军在上,"{'类型': [' 剧情 ', ' 爱情 ', ' 古装'], '主演': [' 马思纯 ', ' 盛一伦 ', ' 丁川 ', ' 王楚然 ', ' 张峻鸣 ', ' 潘时七 ', ' 王瑄 ', ' 朱泳腾 ', ' 芦芳生 ', ' 恬妞 ', ' 张瑶 ', ' 于波 ', ' 刘金山 ', ' 刘卫华 ', ' 王力 ', ' 刘孜 ', ' 肖涵 ', ' 王维维 ', ' 倪虹洁 ', ' 张雯 ', ' 张植绿更多...'], '编剧': ' 奭辰公子', '语言': [' 汉语普通话'], '制片国家/地区': ' 中国大陆', '导演': ' 霍耀良 / 文杰 / 江洪敏'}","['古装', '网剧', '小说改编', '电视剧', '喜剧', '爱情', '2017', '艺术，色彩，搞笑']",5.3,51014
1016,一见钟情 一見鐘情,"{'类型': [' 爱情'], '主演': [' 张曼玉 ', ' 黎明 ', ' 葛民辉 ', ' 吴耀汉 ', ' 关秀媚 ', ' 周嘉玲 ', ' 吴嘉龙更多...'], '上映日期': ' 2000-04-20', '编剧': ' 陈十三', '语言': [' 粤语 ', ' 英语'], '制片国家/地区': ' 香港 / 美国', '导演': ' 刘伟强'}","['张曼玉', '香港', '黎明', '香港电影', '爱情', '刘伟强', '2000', '一见钟情']",7.2,51015
1017,婚姻生活 Scener ur ett äktenskap,"{'类型': [' 剧情 ', ' 爱情'], '主演': [' 丽芙·乌曼 ', ' 厄兰·约瑟夫森 ', ' 毕比·安德松 ', ' Jan Malmsjö'], '上映日期': ' 1973-04-11', '编剧': ' 英格玛·伯格曼', '语言': [' 瑞典语'], '制片国家/地区': ' 瑞典', '导演': ' 英格玛·伯格曼'}","['英格玛·伯格曼', '瑞典', '婚姻', '爱情', 'IngmarBergman', '瑞典电影', '伯格曼', '1970s']",8.9,51016
1018,花落花开 Séraphine,"{'类型': [' 剧情 ', ' 传记 ', ' 战争'], '主演': [' 友兰达·梦露 ', ' 乌尔里希·图库尔 ', ' Anne Bennent ', ' Geneviève Mnich ', ' Adélaïde Leroux ', ' 尼克·罗格勒 ', ' 弗朗索瓦兹·勒布伦 ', ' 塞尔日·拉里维埃尔更多...'], '上映日期': ' 2008-09-07', '编剧': ' Marc Abdelnour / 马丁·波渥斯', '语言': [' 法语 ', ' 德语'], '制片国家/地区': ' 法国 / 比利时', '导演': ' 马丁·波渥斯'}","['法国', '传记', '法国电影', '女性', '文艺', 'Séraphine', '2008', '电影']",8.5,51017
1019,天使在美国第一部：千禧年降临 National Theatre Live: Angels in America Part One: Millennium Approaches,"{'类型': [' 剧情 ', ' 同性'], '主演': [' 安德鲁·加菲尔德 ', ' 拉塞尔·托维 ', ' 内森·连恩 ', ' 内森·斯图尔特-贾瑞特 ', ' 马克·阿诺德 ', ' Susan Brown ', ' 詹姆斯·麦卡德尔更多...'], '上映日期': ' 2017-07-20(英国)', '编剧': ' 托尼·库什纳', '语言': [' 英语'], '制片国家/地区': ' 英国', '导演': ' Marianne Elliott'}","['舞台剧', '同性', '英国', 'AndrewGarfield', 'LGBT', '戏剧', 'NTLive', '2017']",9.4,51018
1020,美国商业大亨传奇 The Men Who Built America,"{'制片国家/地区': ' 美国', '类型': [' 纪录片'], '主演': [' Campbell Scott ', ' Eric Rolland ', ' Tim Getman'], '语言': [' 英语']}","['纪录片', '美国', '历史', '商业', '造就美国的人', '金融', '美国记录', 'Documentary']",9.3,51019
1021,队列之末 Parade's End,"{'类型': [' 剧情 ', ' 动作 ', ' 战争'], '主演': [' 本尼迪克特·康伯巴奇 ', ' 丽贝卡·豪尔 ', ' 阿德莱德·克莱蒙丝 ', ' 罗杰·阿拉姆 ', ' 安-玛莉·杜芙 ', ' 鲁伯特·艾弗雷特 ', ' 斯蒂芬·格拉汉姆 ', ' 克莱尔·希金斯 ', ' 珍妮·麦克蒂尔 ', ' 米兰达·理查森 ', ' 大卫·道森更多...'], '编剧': ' 汤姆·斯托帕德 / 福特·麦多克斯·福特', '语言': [' 英语'], '制片国家/地区': ' 英国', '导演': ' 苏珊娜·怀特'}","['英剧', 'BBC', '英国', '战争', '爱情', '2012', '电视剧', '剧情']",8.1,51020
1022,市政厅 시티홀,"{'类型': [' 喜剧 ', ' 爱情'], '主演': [' 金宣儿 ', ' 车胜元 ', ' 李亨哲 ', ' 秋相美 ', ' 尹世雅 ', ' 蔡建 ', ' 郑秀英 ', ' 权多贤 ', ' 李俊赫更多...'], '编剧': ' 金银淑', '语言': [' 韩语'], '制片国家/地区': ' 韩国', '导演': ' 申宇哲'}","['韩剧', '车胜元', '金善雅', '爱情', '市政厅', '韩国', '2009', '看过的电视剧']",8.5,51021
1023,女医明妃传,"{'类型': [' 剧情 ', ' 古装'], '主演': [' 刘诗诗 ', ' 霍建华 ', ' 黄轩 ', ' 李呈媛 ', ' 袁文康 ', ' 金晨 ', ' 吴磊 ', ' 何音 ', ' 何晴 ', ' 刘立伟 ', ' 王春元 ', ' 朱虹 ', ' 于莎莎 ', ' 王新民 ', ' 王丽媛 ', ' 张雷 ', ' 张柏俊 ', ' 邓立民 ', ' 吕梁 ', ' 方子春 ', ' 顾艳 ', ' 卢森堡 ', ' 张皓然 ', ' 谭歆柔 ', ' 李超 ', ' 左金珠 ', ' 马湘宜 ', ' 易凝 ', ' 胡冰卿 ', ' 冯丽丽 ', ' 徐晓璐 ', ' 公方敏 ', ' 常晋 ', ' 李玮珽 ', ' 彭豆豆 ', ' 陈欣予 ', ' 张逸杰 ', ' 张籽沐 ', ' 崔可法 ', ' 屈刚 ', ' 徐鹏凯 ', ' 陆梅芳 ', ' 曲哲明 ', ' 韩振华 ', ' 盛朗熙 ', ' 陆媛媛 ', ' 阳光 ', ' 项瑾 ', ' 金龙 ', ' 周彦呈 ', ' 姬晓飞 ', ' 侯俊龙 ', ' 于永海 ', ' 李昱孚 ', ' 楼芸昊 ', ' 武泽锦熙 ', ' 胡顺儿 ', ' 夏子瑜 ', ' 王豹更多...'], '编剧': ' 张巍', '语言': [' 汉语普通话'], '制片国家/地区': ' 中国大陆', '导演': ' 李国立 / 郑伟文 / 卢泽良'}","['刘诗诗', '古装', '霍建华', '国产电视剧', '电视剧', '国产剧', '黄轩', '看过的电视剧']",6.1,51022
1024,实习医生格蕾 第十四季 Grey's Anatomy Season 14,"{'类型': [' 剧情 ', ' 爱情'], '主演': [' 杰西卡·卡普肖 ', ' 贾斯汀·钱伯斯 ', ' 莎拉·德鲁 ', ' 杰森·乔治 ', ' 嘉科莫·吉安尼欧缇 ', ' 马丁·亨德森 ', ' 卡米拉·卢丁顿 ', ' 凯文·麦克基德 ', ' 小詹姆斯·皮肯斯 ', ' 艾伦·旁派 ', ' 卡特琳娜·斯柯松 ', ' 钱德拉·威尔森 ', ' 凯莉·麦克里里 ', ' 杰西·威廉姆斯 ', ' 阿比盖尔·斯宾赛更多...'], '编剧': ' 珊达·莱梅斯 / 克里斯塔·维诺夫', '语言': [' 英语'], '制片国家/地区': ' 美国', '导演': ' 黛比·艾伦 / 凯文·麦克基德 / 钱德拉·威尔森 / 盖瑞·麦克劳德 / Cecilie A. Mosli'}","['美剧', '医务', '看过的电视剧', '英语标签', '【美剧】', '美国', 'ABC', '2017']",9.2,51023
1025,冰菓 氷菓,"{'类型': [' 动画 ', ' 悬疑'], '主演': [' 中村悠一 ', ' 佐藤聪美 ', ' 阪口大助 ', ' 茅野爱衣 ', ' 雪野五月 ', ' 置鲇龙太郎 ', ' 小山茉美 ', ' 早见沙织 ', ' 悠木碧 ', ' 川原庆久 ', ' 浅野真澄 ', ' 丰崎爱生 ', ' 小仓唯 ', ' 阿部敦 ', ' 伊濑茉莉也 ', ' 入野自由 ', ' 小清水亚美 ', ' 小西克幸 ', ' 日笠阳子更多...'], '编剧': ' 米泽穗信 / 贺东招二', '语言': [' 日语'], '制片国家/地区': ' 日本', '导演': ' 武本康弘'}","['动画', '日本', '推理', '京都动画', '青春', '校园', '2012', '悬疑']",8.7,51024
1026,铁杉树丛 第一季 Hemlock Grove Season 1,"{'类型': [' 悬疑 ', ' 惊悚 ', ' 恐怖'], '主演': [' 法米克·詹森 ', ' 比尔·斯卡斯加德 ', ' 兰登·莱伯隆 ', ' 佩内洛普·米契尔 ', ' 芙蕾雅·廷利 ', ' 多格雷·斯科特 ', ' 妮可·鲍伊温 ', ' 艾米利亚·麦卡锡 ', ' 阿伦·道格拉斯 ', ' 伊莲娜·琼斯 ', ' 坎迪斯·麦克卢尔更多...'], '编剧': ' 布莱恩·麦克格瑞卫', '语言': [' 英语'], '制片国家/地区': ' 美国', '导演': ' 伊莱·罗斯'}","['美剧', '惊悚', '悬疑', 'Netflix', '2013', '美国', '恐怖', '看过的电视剧']",6.9,51025
1027,魔鬼的精神 Вий 3D,"{'类型': [' 悬疑 ', ' 惊悚 ', ' 冒险'], '主演': [' 杰森·弗莱明 ', ' 安德烈·斯莫利亚科夫 ', ' 阿雷克西·查多夫 ', ' 阿格尼娅·蒂科夫斯特 ', ' Yuriy Tsurilo ', ' Olga Zaytseva ', ' Aleksandr Yakovlev ', ' 伊戈尔·日日金 ', ' 瓦列里·佐洛图欣 ', ' Nina Ruslanova ', ' 维克托·贝奇科夫 ', ' Ivan Mokhovikov ', ' Anatoli Gushchin ', ' 阿列克谢·彼得鲁欣 ', ' Aleksandr Karpov更多...'], '上映日期': ' 2014-01-23(俄罗斯)', '编剧': ' 伊哥·斯坦普陈科 / Aleksandr Karpov', '语言': [' 俄语'], '制片国家/地区': ' 俄罗斯 / 乌克兰 / 捷克 / 德国 / 英国', '导演': ' 伊哥·斯坦普陈科'}","['魔幻', '俄罗斯', '惊悚', '俄罗斯电影', '悬疑', '冒险', '2014', '灵异']",5.7,51026
1028,豪勇七蛟龙 The Magnificent Seven,"{'类型': [' 动作 ', ' 西部'], '主演': [' 尤·伯连纳 ', ' 埃里·瓦拉赫 ', ' 史蒂夫·麦奎因 ', ' 查尔斯·布朗森 ', ' 罗伯特·沃恩 ', ' 布拉德·德克斯特 ', ' 詹姆斯·柯本 ', ' 霍斯特·布赫霍尔茨更多...'], '上映日期': ' 1960-11-23(美国)', '编剧': ' 威廉·罗伯茨', '语言': [' 英语 ', ' 西班牙语'], '制片国家/地区': ' 美国', '导演': ' 约翰·斯特奇斯'}","['美国', '西部片', '西部', '1960', '美国电影', '动作', '1960s', '黑泽明']",7.4,51027
1029,忽然七日 Before I Fall,"{'类型': [' 剧情 ', ' 悬疑'], '主演': [' 佐伊·达奇 ', ' 豪斯顿·塞奇 ', ' 洛根·米勒 ', ' 凯恩·罗利 ', ' 埃莱娜·康博里斯 ', ' 吴辛惠 ', ' 米达宁·拉希米 ', ' 埃丽卡·特伦布莱 ', ' 丽芙·休森 ', ' 尼古拉斯·李 ', ' 切尔西·蔻儿·吉尔 ', ' 罗恩·柯蒂斯 ', ' 克莱尔·玛格丽特·克里特 ', ' 凯拉·孔多 ', ' 阿丽尔·图里奥更多...'], '上映日期': ' 2017-01-21(圣丹斯电影节) / 2017-03-03(美国)', '编剧': ' 玛丽娅·玛根蒂 / 劳伦·奥利弗', '语言': [' 英语'], '制片国家/地区': ' 美国', '导演': ' 莱·拉索-扬'}","['美国', '青春', '悬疑', '剧情', '成长', '2017', '奇幻', '小说改编']",6.4,51028
1030,回来吧大叔 돌아와요 아저씨,"{'类型': [' 剧情 ', ' 奇幻'], '主演': [' 郑智薰 ', ' 吴涟序 ', ' 李珉廷 ', ' 金仁权 ', ' 金秀路 ', ' 李荷妮更多...'], '编剧': ' 卢惠英', '语言': [' 韩语'], '制片国家/地区': ' 韩国', '导演': ' 申允燮'}","['韩剧', 'Rain', '韩国', '电视剧', '2016', '奇幻', '看过的电视剧', '连续剧']",7.6,51029
